9904  access("/etc/ld.so.preload", R_OK) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/sitecustomize.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/lab/audit/repo/security", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/warnings.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/version.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/_expired_attrs_2_0.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/_globals.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/enum.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/types.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/operator.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/functools.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/collections/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/keyword.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/reprlib.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_utils/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_utils", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_utils/__pycache__/_convertions.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/_distributor_init.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/__config__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/multiarray.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/_multiarray_umath.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/glibc-hwcaps/x86-64-v4/libscipy_openblas64_-32a4b2a6.so", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/glibc-hwcaps/x86-64-v3/libscipy_openblas64_-32a4b2a6.so", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/glibc-hwcaps/x86-64-v2/libscipy_openblas64_-32a4b2a6.so", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libscipy_openblas64_-32a4b2a6.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libstdc++.so.6", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/etc/ld.so.cache", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libstdc++.so.6", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libgcc_s.so.1", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libgcc_s.so.1", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libpthread.so.0", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libpthread.so.0", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libpthread.so.0", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libgfortran-040039e1-0352e75f.so.5.0.0", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/../../numpy.libs/libquadmath-96973f99-934c22de.so.0.0.0", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/sys/devices/system/cpu/possible", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/datetime.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/exceptions.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_exceptions.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/printoptions.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/contextvars.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/lib-dynload/_contextvars.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/dtypes.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/overrides.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/inspect.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/ast.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/contextlib.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/dis.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/opcode.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/collections", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/collections/__pycache__/abc.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/importlib/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/linecache.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/tokenize.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/re/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/re", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/re/__pycache__/_compiler.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/re/__pycache__/_parser.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/re/__pycache__/_constants.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/re/__pycache__/_casefix.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/copyreg.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/token.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_utils/__pycache__/_inspect.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/umath.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/numerictypes.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/numbers.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_dtype.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_string_helpers.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_type_aliases.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/einsumfunc.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/numeric.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/shape_base.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/fromnumeric.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_methods.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/pickle.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/struct.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/_compat_pickle.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_ufunc_config.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_asarray.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/arrayprint.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/function_base.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/getlimits.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/memmap.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/records.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_add_newdocs.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/textwrap.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_add_newdocs_scalars.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_dtype_ctypes.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_core/__pycache__/_internal.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/ctypes/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/lib-dynload/_ctypes.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/etc/ld.so.cache", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libffi.so.8", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/ctypes", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/ctypes/__pycache__/_endian.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/_pytesttester.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_arraypad_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/typing.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/lib-dynload/_typing.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_index_tricks_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/matrixlib/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/matrixlib", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/matrixlib/__pycache__/defmatrix.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/linalg/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/linalg", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/linalg/__pycache__/_linalg.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_array_like.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_nbit_base.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_nested_sequence.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_shape.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_char_codes.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
