# US quarterly macro panel for the Giannone-Lenza-Primiceri (2015) prior-selection design replication.
# Source: statsmodels.datasets.macrodata (public-domain US-government statistical series, BEA/BLS/FRB;
# statsmodels vintage compiled from FRED, 2009). Columns are a subset of macrodata, sample trimmed to
# 1959Q1-2008Q4 to match the GLP sample end. NOT GLP's dataset: GLP use the Stock-Watson (2008) panel
# (GDP deflator, federal funds rate); this vintage carries CPI and the 3-month T-bill rate instead.
# realgdp/realcons/realinv/realgovt/realdpi: billions of chained 2005 dollars, SAAR. cpi: CPI-U index
# (1982-84=100), quarter-end month. tbilrate: 3-month Treasury bill rate, percent, quarterly average.
year,quarter,realgdp,cpi,realcons,realinv,realgovt,realdpi,tbilrate
1990,4,7988.864,134.7,5299.5,934.248,800.525,5878.2,6.67
1991,1,7950.164,135.1,5284.4,896.21,806.775,5896.3,5.83
1991,2,8003.822,136.2,5324.7,891.704,809.081,5941.1,5.54
1991,3,8037.538,137.2,5345.0,913.904,793.987,5953.6,5.18
1991,4,8069.046,138.3,5342.6,948.891,778.378,5992.4,4.14
1992,1,8157.616,139.4,5434.5,927.796,778.568,6082.9,3.88
1992,2,8244.294,140.5,5466.7,988.912,777.762,6129.5,3.5
1992,3,8329.361,141.7,5527.1,999.135,786.639,6160.6,2.97
1992,4,8417.016,142.8,5594.6,1030.758,787.064,6248.2,3.12
1993,1,8432.485,143.8,5617.2,1054.979,762.901,6156.5,2.92
1993,2,8486.435,144.5,5671.1,1063.263,752.158,6252.3,3.02
1993,3,8531.108,145.6,5732.7,1062.514,744.227,6265.7,3.0
1993,4,8643.769,146.3,5783.7,1118.583,748.102,6358.1,3.05
1994,1,8727.919,147.2,5848.1,1166.845,721.288,6332.6,3.48
1994,2,8847.303,148.4,5891.5,1234.855,717.197,6440.6,4.2
1994,3,8904.289,149.4,5938.7,1212.655,736.89,6487.9,4.68
1994,4,9003.18,150.5,5997.3,1269.19,716.702,6574.0,5.53
1995,1,9025.267,151.8,6004.3,1282.09,715.326,6616.6,5.72
1995,2,9044.668,152.6,6053.5,1247.61,712.492,6617.2,5.52
1995,3,9120.684,153.5,6107.6,1235.601,707.649,6666.8,5.32
1995,4,9184.275,154.7,6150.6,1270.392,681.081,6706.2,5.17
1996,1,9247.188,156.1,6206.9,1287.128,695.265,6777.7,4.91
1996,2,9407.052,157.0,6277.1,1353.795,705.172,6850.6,5.09
1996,3,9488.879,158.2,6314.6,1422.059,692.741,6908.9,5.04
1996,4,9592.458,159.4,6366.1,1418.193,690.744,6946.8,4.99
1997,1,9666.235,159.9,6430.2,1451.304,681.445,7008.9,5.1
1997,2,9809.551,160.4,6456.2,1543.976,693.525,7061.5,5.01
1997,3,9932.672,161.5,6566.0,1571.426,691.261,7142.4,5.02
1997,4,10008.874,162.0,6641.1,1596.523,690.311,7241.5,5.11
1998,1,10103.425,162.2,6707.2,1672.732,668.783,7406.2,5.02
1998,2,10194.277,163.2,6822.6,1652.716,687.184,7512.0,4.98
1998,3,10328.787,163.9,6913.1,1700.071,681.472,7591.0,4.49
1998,4,10507.575,164.7,7019.1,1754.743,688.147,7646.5,4.38
1999,1,10601.179,165.9,7088.3,1809.993,683.601,7698.4,4.39
1999,2,10684.049,166.7,7199.9,1803.674,683.594,7716.0,4.54
1999,3,10819.914,168.1,7286.4,1848.949,697.936,7765.9,4.75
1999,4,11014.254,169.3,7389.2,1914.567,713.445,7887.7,5.2
2000,1,11043.044,170.9,7501.3,1887.836,685.216,8053.4,5.63
2000,2,11258.454,172.7,7571.8,2018.529,712.641,8135.9,5.81
2000,3,11267.867,173.9,7645.9,1986.956,698.827,8222.3,6.07
2000,4,11334.544,175.6,7713.5,1987.845,695.597,8234.6,5.7
2001,1,11297.171,176.4,7744.3,1882.691,710.403,8296.5,4.39
2001,2,11371.251,177.4,7773.5,1876.65,725.623,8273.7,3.54
2001,3,11340.075,177.6,7807.7,1837.074,730.493,8484.5,2.72
2001,4,11380.128,177.7,7930.0,1731.189,739.318,8385.5,1.74
2002,1,11477.868,179.3,7957.3,1789.327,756.915,8611.6,1.75
2002,2,11538.77,180.0,7997.8,1810.779,774.408,8658.9,1.7
2002,3,11596.43,181.2,8052.0,1814.531,786.673,8629.2,1.61
2002,4,11598.824,182.6,8080.6,1813.219,799.967,8649.6,1.2
2003,1,11645.819,183.2,8122.3,1813.141,800.196,8681.3,1.14
2003,2,11738.706,183.7,8197.8,1823.698,838.775,8812.5,0.96
2003,3,11935.461,184.9,8312.1,1889.883,839.598,8935.4,0.94
2003,4,12042.817,186.3,8358.0,1959.783,845.722,8986.4,0.9
2004,1,12127.623,187.4,8437.6,1970.015,856.57,9025.9,0.94
2004,2,12213.818,189.1,8483.2,2055.58,861.44,9115.0,1.21
2004,3,12303.533,190.8,8555.8,2082.231,876.385,9175.9,1.63
2004,4,12410.282,191.8,8654.2,2125.152,865.596,9303.4,2.2
2005,1,12534.113,193.8,8719.0,2170.299,869.204,9189.6,2.69
2005,2,12587.535,194.7,8802.9,2131.468,870.044,9253.0,3.01
2005,3,12683.153,199.2,8865.6,2154.949,890.394,9308.0,3.52
2005,4,12748.699,199.4,8888.5,2232.193,875.557,9358.7,4.0
2006,1,12915.938,200.7,8986.6,2264.721,900.511,9533.8,4.51
2006,2,12962.462,202.7,9035.0,2261.247,892.839,9617.3,4.82
2006,3,12965.916,201.9,9090.7,2229.636,892.002,9662.5,4.9
2006,4,13060.679,203.574,9181.6,2165.966,894.404,9788.8,4.92
2007,1,13099.901,205.92,9265.1,2132.609,882.766,9830.2,4.95
2007,2,13203.977,207.338,9291.5,2162.214,898.713,9842.7,4.72
2007,3,13321.109,209.133,9335.6,2166.491,918.983,9883.9,4.0
2007,4,13391.249,212.495,9363.6,2123.426,925.11,9886.2,3.01
2008,1,13366.865,213.997,9349.6,2082.886,943.372,9826.8,1.56
2008,2,13415.266,218.61,9351.0,2026.518,961.28,10059.0,1.74
2008,3,13324.6,216.889,9267.7,1990.693,991.551,9838.3,1.17
2008,4,13141.92,212.174,9195.3,1857.661,1007.273,9920.4,0.12
