# Blanchard-Quah (1989) design replication inputs: US real GDP and the unemployment rate, quarterly 1959Q1-2009Q3 (203 quarters).
# realgdp = real gross domestic product, billions of chained 2005 US dollars, seasonally adjusted annual rate;
# unemp = civilian unemployment rate, percent, seasonally adjusted.
# Source: US-government statistical data (BEA / BLS via FRED), public domain. Copied verbatim from the
# bundled statsmodels 0.15.0 dataset `statsmodels.datasets.macrodata` (columns year, quarter, realgdp, unemp),
# whose own COPYRIGHT note reads "This is public domain." Written by
# `python docs/examples/replication_blanchard_quah.py --write-fixture`; test_replication_blanchard_quah.py
# re-checks equality against the bundle whenever statsmodels is importable.
quarter,realgdp,unemp
1970Q4,4256.637,5.8
1971Q1,4374.016,5.9
1971Q2,4398.829,5.9
1971Q3,4433.943,6.0
1971Q4,4446.264,6.0
1972Q1,4525.769,5.8
1972Q2,4633.101,5.7
1972Q3,4677.503,5.6
1972Q4,4754.546,5.3
1973Q1,4876.166,5.0
1973Q2,4932.571,4.9
1973Q3,4906.252,4.8
1973Q4,4953.050,4.8
1974Q1,4909.617,5.1
1974Q2,4922.188,5.2
1974Q3,4873.520,5.6
1974Q4,4854.340,6.6
1975Q1,4795.295,8.2
1975Q2,4831.942,8.9
1975Q3,4913.328,8.5
1975Q4,4977.511,8.3
1976Q1,5090.663,7.7
1976Q2,5128.947,7.6
1976Q3,5154.072,7.7
1976Q4,5191.499,7.8
1977Q1,5251.762,7.5
1977Q2,5356.131,7.1
1977Q3,5451.921,6.9
1977Q4,5450.793,6.6
1978Q1,5469.405,6.3
1978Q2,5684.569,6.0
1978Q3,5740.300,6.0
1978Q4,5816.222,5.9
1979Q1,5825.949,5.9
1979Q2,5831.418,5.7
1979Q3,5873.335,5.9
1979Q4,5889.495,5.9
1980Q1,5908.467,6.3
1980Q2,5787.373,7.3
1980Q3,5776.617,7.7
1980Q4,5883.460,7.4
1981Q1,6005.717,7.4
1981Q2,5957.795,7.4
1981Q3,6030.184,7.4
1981Q4,5955.062,8.2
1982Q1,5857.333,8.8
1982Q2,5889.074,9.4
1982Q3,5866.370,9.9
1982Q4,5871.001,10.7
1983Q1,5944.020,10.4
1983Q2,6077.619,10.1
1983Q3,6197.468,9.4
1983Q4,6325.574,8.5
1984Q1,6448.264,7.9
1984Q2,6559.594,7.5
1984Q3,6623.343,7.4
1984Q4,6677.264,7.3
1985Q1,6740.275,7.3
1985Q2,6797.344,7.3
1985Q3,6903.523,7.2
1985Q4,6955.918,7.0
1986Q1,7022.757,7.0
1986Q2,7050.969,7.2
1986Q3,7118.950,7.0
1986Q4,7153.359,6.8
1987Q1,7193.019,6.6
1987Q2,7269.510,6.3
1987Q3,7332.558,6.0
1987Q4,7458.022,5.9
1988Q1,7496.600,5.7
1988Q2,7592.881,5.5
1988Q3,7632.082,5.5
1988Q4,7733.991,5.3
1989Q1,7806.603,5.2
1989Q2,7865.016,5.2
1989Q3,7927.393,5.3
1989Q4,7944.697,5.4
1990Q1,8027.693,5.3
1990Q2,8059.598,5.3
1990Q3,8059.476,5.7
1990Q4,7988.864,6.1
1991Q1,7950.164,6.6
1991Q2,8003.822,6.8
1991Q3,8037.538,6.9
1991Q4,8069.046,7.1
1992Q1,8157.616,7.4
1992Q2,8244.294,7.6
1992Q3,8329.361,7.6
1992Q4,8417.016,7.4
1993Q1,8432.485,7.2
1993Q2,8486.435,7.1
1993Q3,8531.108,6.8
1993Q4,8643.769,6.6
1994Q1,8727.919,6.6
1994Q2,8847.303,6.2
1994Q3,8904.289,6.0
1994Q4,9003.180,5.6
1995Q1,9025.267,5.5
1995Q2,9044.668,5.7
1995Q3,9120.684,5.7
1995Q4,9184.275,5.6
1996Q1,9247.188,5.5
1996Q2,9407.052,5.5
1996Q3,9488.879,5.3
1996Q4,9592.458,5.3
1997Q1,9666.235,5.2
1997Q2,9809.551,5.0
1997Q3,9932.672,4.9
1997Q4,10008.874,4.7
1998Q1,10103.425,4.6
1998Q2,10194.277,4.4
1998Q3,10328.787,4.5
1998Q4,10507.575,4.4
1999Q1,10601.179,4.3
1999Q2,10684.049,4.3
1999Q3,10819.914,4.2
1999Q4,11014.254,4.1
2000Q1,11043.044,4.0
2000Q2,11258.454,3.9
2000Q3,11267.867,4.0
2000Q4,11334.544,3.9
2001Q1,11297.171,4.2
2001Q2,11371.251,4.4
2001Q3,11340.075,4.8
2001Q4,11380.128,5.5
2002Q1,11477.868,5.7
2002Q2,11538.770,5.8
2002Q3,11596.430,5.7
2002Q4,11598.824,5.8
2003Q1,11645.819,5.9
2003Q2,11738.706,6.2
2003Q3,11935.461,6.1
2003Q4,12042.817,5.8
2004Q1,12127.623,5.7
2004Q2,12213.818,5.6
2004Q3,12303.533,5.4
2004Q4,12410.282,5.4
2005Q1,12534.113,5.3
2005Q2,12587.535,5.1
2005Q3,12683.153,5.0
2005Q4,12748.699,4.9
2006Q1,12915.938,4.7
2006Q2,12962.462,4.7
2006Q3,12965.916,4.7
2006Q4,13060.679,4.4
2007Q1,13099.901,4.5
2007Q2,13203.977,4.5
2007Q3,13321.109,4.7
2007Q4,13391.249,4.8
2008Q1,13366.865,4.9
2008Q2,13415.266,5.4
2008Q3,13324.600,6.0
2008Q4,13141.920,6.9
2009Q1,12925.410,8.1
2009Q2,12901.504,9.2
2009Q3,12990.341,9.6
